City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Cidreira,BR,-30.1811,-50.2056,63.05,76,100,11.05,light rain
106,Luderitz,NA,-26.6481,15.1594,68.52,31,1,10.04,clear sky
107,Sovetskiy,RU,61.3614,63.5842,45.91,50,80,4.88,broken clouds
108,Thompson,CA,55.7435,-97.8558,60.96,77,90,10.36,overcast clouds
109,Acapulco,MX,16.8634,-99.8901,89.42,70,75,10.74,broken clouds
110,Labrea,BR,-7.2586,-64.7981,74.98,96,98,2.26,moderate rain
111,Jamestown,US,42.097,-79.2353,83.52,50,1,6.91,clear sky
112,Pativilca,PE,-10.7,-77.7833,64.54,82,65,10.22,broken clouds
113,Namatanai,PG,-3.6667,152.4333,82.0,77,95,2.73,moderate rain
114,Arkhipo-Osipovka,RU,44.37,38.52,60.26,80,78,11.34,broken clouds
115,Santa Lucia,ES,27.9117,-15.5407,60.12,73,75,11.52,broken clouds
116,Torbay,CA,47.6666,-52.7314,46.27,87,75,19.57,broken clouds
117,Butaritari,KI,3.0707,172.7902,82.58,72,12,8.48,light rain
118,Coihaique,CL,-45.5752,-72.0662,44.55,76,75,6.91,light rain
119,Vardo,NO,70.3705,31.1107,39.15,74,6,1.88,clear sky
120,Kavieng,PG,-2.5744,150.7967,82.31,75,56,6.08,light rain
121,Constitucion,CL,-35.3333,-72.4167,51.93,72,100,8.99,overcast clouds
122,East London,ZA,-33.0153,27.9116,62.28,39,0,9.24,clear sky
123,Cabo San Lucas,MX,22.8909,-109.9124,100.81,45,1,10.36,clear sky
124,Sinnamary,GF,5.3833,-52.95,76.01,89,100,5.66,overcast clouds
125,Ola,RU,59.5833,151.2833,48.49,75,40,4.85,scattered clouds
126,Port Moresby,PG,-9.4431,147.1797,76.42,94,75,3.44,broken clouds
127,Ust-Nera,RU,64.5667,143.2,63.41,62,100,6.78,overcast clouds
128,Port-Gentil,GA,-0.7193,8.7815,80.56,83,90,9.22,overcast clouds
129,Hambantota,LK,6.1241,81.1185,79.45,85,100,13.85,overcast clouds
130,Haileybury,CA,47.449,-79.6373,90.18,57,85,16.69,overcast clouds
131,Salina,US,38.8403,-97.6114,86.13,48,20,12.66,few clouds
132,Maragogi,BR,-9.0122,-35.2225,75.79,84,8,8.25,clear sky
133,Lyubymivka,UA,46.8106,33.5686,56.91,90,80,7.07,broken clouds
134,Saskylakh,RU,71.9167,114.0833,39.24,56,77,4.59,broken clouds
135,Marietta,US,33.9526,-84.5499,85.78,63,90,4.61,overcast clouds
136,Tafresh,IR,34.692,50.013,66.2,21,0,6.96,clear sky
137,Atuona,PF,-9.8,-139.0333,80.19,62,61,6.73,broken clouds
138,Jalu,LY,29.0331,21.5482,74.97,31,0,9.04,clear sky
139,Mount Gambier,AU,-37.8333,140.7667,55.31,71,100,18.41,overcast clouds
140,Kuching,MY,1.55,110.3333,73.62,100,20,1.14,few clouds
141,Mareeba,AU,-17.0,145.4333,67.44,89,86,5.93,overcast clouds
142,Qaqortoq,GL,60.7167,-46.0333,55.9,80,100,4.9,overcast clouds
143,Belyy Yar,RU,53.6039,91.3903,48.09,87,0,4.72,clear sky
144,Westport,US,41.1415,-73.3579,92.05,55,1,1.99,clear sky
145,Saint-Philippe,RE,-21.3585,55.7679,72.99,86,77,13.82,light rain
146,Bontang,ID,0.1333,117.5,77.95,88,100,6.11,moderate rain
147,Pokhara,NP,28.2333,83.9833,74.93,61,66,4.12,broken clouds
148,La Rioja,ES,42.25,-2.5,54.05,84,20,5.32,few clouds
149,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,43.39,100,90,3.87,light rain
150,Sechura,PE,-5.5569,-80.8222,72.81,67,96,16.91,overcast clouds
151,Kiruna,SE,67.8557,20.2251,50.92,43,33,0.0,scattered clouds
152,Seddon,AU,-37.8068,144.8916,57.67,80,40,8.01,scattered clouds
153,Alice Springs,AU,-23.7,133.8833,40.55,75,12,3.06,few clouds
154,Puerto Escondido,MX,15.85,-97.0667,84.74,78,60,7.05,broken clouds
155,Pangnirtung,CA,66.1451,-65.7125,32.49,93,26,2.86,scattered clouds
156,Jacareacanga,BR,-6.2222,-57.7528,78.8,72,99,1.05,overcast clouds
157,Marck,FR,50.949,1.9433,55.56,77,34,3.09,scattered clouds
158,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,94,75,20.47,broken clouds
159,Hofn,IS,64.2539,-15.2082,46.99,98,95,12.75,light rain
160,Beyneu,KZ,45.3167,55.2,65.53,50,1,10.47,clear sky
161,Juneau,US,58.3019,-134.4197,54.21,88,75,4.0,light rain
162,Longyearbyen,SJ,78.2186,15.6401,39.04,65,0,12.66,clear sky
163,Champerico,GT,14.3,-91.9167,87.35,69,42,7.05,scattered clouds
164,Mahon,ES,39.8885,4.2658,61.36,88,0,4.61,clear sky
165,Ixtapa,MX,20.7,-105.2,86.23,74,70,5.01,broken clouds
166,Faya,SA,18.3851,42.4509,70.32,48,6,2.75,clear sky
167,Bahia Blanca,AR,-38.7196,-62.2724,52.9,40,100,8.9,overcast clouds
168,Mbanza-Ngungu,CD,-5.25,14.8667,69.13,75,31,1.21,scattered clouds
169,Menongue,AO,-14.6585,17.691,50.95,60,59,4.59,broken clouds
170,Praia,CV,14.9215,-23.5087,73.94,73,75,18.41,broken clouds
171,Yarke Pole,UA,45.608,34.3172,54.03,93,69,8.25,broken clouds
172,Chapulhuacan,MX,21.1667,-98.9,89.37,37,84,6.49,broken clouds
173,Tevaitoa,PF,-16.7833,-151.5,80.78,77,72,11.48,light rain
174,Tongliao,CN,43.6125,122.2653,71.74,41,10,8.16,clear sky
175,Baruun-Urt,MN,46.6806,113.2792,66.76,45,100,11.83,overcast clouds
176,Lakselv,NO,70.0513,24.9718,47.75,81,58,2.3,broken clouds
177,Fukue,JP,32.6881,128.8419,70.12,77,100,6.31,overcast clouds
178,Harper,LR,4.375,-7.7169,78.06,88,100,11.83,light rain
179,Moscow,RU,55.7522,37.6156,61.38,88,96,4.59,overcast clouds
180,Maltahohe,NA,-24.8333,16.9833,49.01,41,0,9.44,clear sky
181,Maceio,BR,-9.6658,-35.7353,78.24,83,20,7.61,few clouds
182,Olafsvik,IS,64.8945,-23.7142,47.1,88,100,3.78,overcast clouds
183,Nalut,LY,30.3333,10.85,87.42,12,34,16.96,scattered clouds
184,Port Hawkesbury,CA,45.6169,-61.3485,58.42,72,1,4.0,clear sky
185,Kudat,MY,6.8837,116.8477,75.29,100,20,0.0,few clouds
186,Zhigansk,RU,66.7697,123.3711,52.45,40,100,12.12,overcast clouds
187,Quatre Cocos,MU,-20.2078,57.7625,75.31,83,34,13.87,light rain
188,Timra,SE,62.487,17.3257,60.51,88,75,2.3,broken clouds
189,Port Hardy,CA,50.6996,-127.4199,55.58,71,75,14.97,broken clouds
190,Chuy,UY,-33.6971,-53.4616,50.38,79,83,5.95,broken clouds
191,Kodinsk,RU,58.6881,99.1844,44.35,96,69,3.89,moderate rain
192,Berlevag,NO,70.8578,29.0864,39.25,72,6,0.78,clear sky
193,Batticaloa,LK,7.7102,81.6924,80.49,76,93,2.57,overcast clouds
194,Grootfontein,NA,-19.5667,18.1167,45.97,61,0,4.61,clear sky
195,Port Elizabeth,ZA,-33.918,25.5701,62.28,28,0,9.8,clear sky
196,Kamenka,RU,51.3223,42.7678,53.85,94,60,6.53,broken clouds
197,Athabasca,CA,54.7169,-113.2854,69.49,34,85,9.6,overcast clouds
198,Orangeburg,US,33.4918,-80.8557,80.89,82,20,9.22,few clouds
