City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Salina,US,86.13,few clouds,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
132,Maragogi,BR,75.79,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
135,Marietta,US,85.78,overcast clouds,33.9526,-84.5499,Hilton Atlanta/Marietta Hotel & Conference Center
137,Atuona,PF,80.19,broken clouds,-9.8,-139.0333,Villa Enata
146,Bontang,ID,77.95,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
154,Puerto Escondido,MX,84.74,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
156,Jacareacanga,BR,78.8,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
163,Champerico,GT,87.35,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
165,Ixtapa,MX,86.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
172,Chapulhuacan,MX,89.37,broken clouds,21.1667,-98.9,Hotel Posada Don Mauro
173,Tevaitoa,PF,80.78,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
178,Harper,LR,78.06,light rain,4.375,-7.7169,Screensaver
181,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
185,Kudat,MY,75.29,few clouds,6.8837,116.8477,Dream Garden Hotel
187,Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
193,Batticaloa,LK,80.49,overcast clouds,7.7102,81.6924,Grand Star Guest House
198,Orangeburg,US,80.89,few clouds,33.4918,-80.8557,Palmetto Inn & Suites
208,Sturgis,US,87.84,clear sky,41.7992,-85.4192,Best Western Plus Howe Inn
211,Jasper,US,81.01,overcast clouds,37.2001,-94.3502,Guest House Motel
219,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
220,Tual,ID,81.27,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
230,Popondetta,PG,79.05,broken clouds,-8.7537,148.2534,Timos Transit House
232,Victoria,HK,82.45,scattered clouds,22.2855,114.1577,Mini Hotel Central
